Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [54/500] | Sampled: 246.44 | Baseline: 259.75 | Improvement: 13.31 | Win Rate: 93.75% | Actor Loss: -0.2367 | Entropy: 0.5594 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [55/500] | Sampled: 252.47 | Baseline: 267.09 | Improvement: 14.62 | Win Rate: 90.62% | Actor Loss: -0.9820 | Entropy: 0.5824 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [56/500] | Sampled: 251.41 | Baseline: 270.22 | Improvement: 18.81 | Win Rate: 87.50% | Actor Loss: -0.6430 | Entropy: 0.5103 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [57/500] | Sampled: 250.50 | Baseline: 265.47 | Improvement: 14.97 | Win Rate: 100.00% | Actor Loss: -0.8054 | Entropy: 0.5241 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [58/500] | Sampled: 252.88 | Baseline: 266.72 | Improvement: 13.84 | Win Rate: 93.75% | Actor Loss: 0.5088 | Entropy: 0.5664 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [59/500] | Sampled: 253.09 | Baseline: 264.94 | Improvement: 11.84 | Win Rate: 81.25% | Actor Loss: 0.5077 | Entropy: 0.5317 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [60/500] | Sampled: 253.28 | Baseline: 268.44 | Improvement: 15.16 | Win Rate: 87.50% | Actor Loss: -0.8069 | Entropy: 0.5516 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [61/500] | Sampled: 247.78 | Baseline: 267.81 | Improvement: 20.03 | Win Rate: 93.75% | Actor Loss: -1.4657 | Entropy: 0.5471 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [62/500] | Sampled: 250.34 | Baseline: 265.06 | Improvement: 14.72 | Win Rate: 96.88% | Actor Loss: 0.4750 | Entropy: 0.5577 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [63/500] | Sampled: 249.44 | Baseline: 263.62 | Improvement: 14.19 | Win Rate: 93.75% | Actor Loss: -0.0746 | Entropy: 0.5290 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
