Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [64/500] | Sampled: 260.62 | Baseline: 265.31 | Improvement: 4.69 | Win Rate: 65.62% | Job Loss: -0.4473 | AMR Loss: -0.0210 | Entropy: 1.8604 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [65/500] | Sampled: 264.00 | Baseline: 268.62 | Improvement: 4.62 | Win Rate: 71.88% | Job Loss: -1.2106 | AMR Loss: 0.0461 | Entropy: 1.8202 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [66/500] | Sampled: 259.94 | Baseline: 262.88 | Improvement: 2.94 | Win Rate: 53.12% | Job Loss: -1.0738 | AMR Loss: -0.4889 | Entropy: 1.7727 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [67/500] | Sampled: 262.78 | Baseline: 268.44 | Improvement: 5.66 | Win Rate: 75.00% | Job Loss: -0.6661 | AMR Loss: 0.4032 | Entropy: 1.7734 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [68/500] | Sampled: 262.72 | Baseline: 269.56 | Improvement: 6.84 | Win Rate: 68.75% | Job Loss: -1.3415 | AMR Loss: 0.0408 | Entropy: 1.7675 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [69/500] | Sampled: 262.69 | Baseline: 265.88 | Improvement: 3.19 | Win Rate: 53.12% | Job Loss: -0.7254 | AMR Loss: 0.0673 | Entropy: 1.7280 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [70/500] | Sampled: 260.09 | Baseline: 268.28 | Improvement: 8.19 | Win Rate: 71.88% | Job Loss: -0.1597 | AMR Loss: -0.2102 | Entropy: 1.6956 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [71/500] | Sampled: 259.91 | Baseline: 265.62 | Improvement: 5.72 | Win Rate: 75.00% | Job Loss: 0.0067 | AMR Loss: -0.5930 | Entropy: 1.6850 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [72/500] | Sampled: 262.72 | Baseline: 267.00 | Improvement: 4.28 | Win Rate: 68.75% | Job Loss: -0.6681 | AMR Loss: -0.0933 | Entropy: 1.6660 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [73/500] | Sampled: 263.03 | Baseline: 268.06 | Improvement: 5.03 | Win Rate: 65.62% | Job Loss: -0.4748 | AMR Loss: -0.5069 | Entropy: 1.6612 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
