Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_03/attention_precise_latest.pth (optimizers: optimizer)
Starting Attention Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [68/500] | Sampled: 253.69 | Baseline: 250.50 | Improvement: -3.19 | Win Rate: 34.38% | Actor Loss: -0.4125 | Entropy: 0.3995 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [69/500] | Sampled: 251.12 | Baseline: 248.69 | Improvement: -2.44 | Win Rate: 37.50% | Actor Loss: 1.0038 | Entropy: 0.3568 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [70/500] | Sampled: 254.88 | Baseline: 250.81 | Improvement: -4.06 | Win Rate: 34.38% | Actor Loss: -0.9141 | Entropy: 0.3872 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [71/500] | Sampled: 251.44 | Baseline: 249.28 | Improvement: -2.16 | Win Rate: 46.88% | Actor Loss: 0.2496 | Entropy: 0.3945 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [72/500] | Sampled: 253.56 | Baseline: 251.44 | Improvement: -2.12 | Win Rate: 34.38% | Actor Loss: -0.3250 | Entropy: 0.3793 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [73/500] | Sampled: 252.44 | Baseline: 253.47 | Improvement: 1.03 | Win Rate: 50.00% | Actor Loss: -0.0946 | Entropy: 0.4386 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [74/500] | Sampled: 252.50 | Baseline: 251.16 | Improvement: -1.34 | Win Rate: 43.75% | Actor Loss: -0.4243 | Entropy: 0.4248 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [75/500] | Sampled: 253.56 | Baseline: 250.78 | Improvement: -2.78 | Win Rate: 28.12% | Actor Loss: -0.6697 | Entropy: 0.4055 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [76/500] | Sampled: 251.38 | Baseline: 249.44 | Improvement: -1.94 | Win Rate: 40.62% | Actor Loss: -0.5234 | Entropy: 0.4493 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [77/500] | Sampled: 253.00 | Baseline: 251.34 | Improvement: -1.66 | Win Rate: 34.38% | Actor Loss: 0.5924 | Entropy: 0.4390 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [78/500] | Sampled: 251.97 | Baseline: 250.75 | Improvement: -1.22 | Win Rate: 40.62% | Actor Loss: -0.4497 | Entropy: 0.4528 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [79/500] | Sampled: 253.78 | Baseline: 251.88 | Improvement: -1.91 | Win Rate: 40.62% | Actor Loss: 0.3445 | Entropy: 0.4712 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [80/500] | Sampled: 252.94 | Baseline: 249.34 | Improvement: -3.59 | Win Rate: 31.25% | Actor Loss: 0.1032 | Entropy: 0.5052 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [81/500] | Sampled: 251.28 | Baseline: 250.19 | Improvement: -1.09 | Win Rate: 46.88% | Actor Loss: 0.6875 | Entropy: 0.5633 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [82/500] | Sampled: 252.69 | Baseline: 246.97 | Improvement: -5.72 | Win Rate: 21.88% | Actor Loss: -0.4212 | Entropy: 0.5510 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [83/500] | Sampled: 253.97 | Baseline: 249.78 | Improvement: -4.19 | Win Rate: 37.50% | Actor Loss: -1.1830 | Entropy: 0.5478 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [84/500] | Sampled: 254.12 | Baseline: 247.53 | Improvement: -6.59 | Win Rate: 25.00% | Actor Loss: -0.1020 | Entropy: 0.5501 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [85/500] | Sampled: 256.16 | Baseline: 251.03 | Improvement: -5.12 | Win Rate: 25.00% | Actor Loss: -0.8184 | Entropy: 0.5863 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [86/500] | Sampled: 253.06 | Baseline: 249.09 | Improvement: -3.97 | Win Rate: 34.38% | Actor Loss: -0.9365 | Entropy: 0.5545 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [87/500] | Sampled: 254.69 | Baseline: 249.84 | Improvement: -4.84 | Win Rate: 37.50% | Actor Loss: -0.4212 | Entropy: 0.5310 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [88/500] | Sampled: 252.25 | Baseline: 249.62 | Improvement: -2.62 | Win Rate: 31.25% | Actor Loss: -0.8231 | Entropy: 0.4926 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [89/500] | Sampled: 253.66 | Baseline: 247.78 | Improvement: -5.88 | Win Rate: 25.00% | Actor Loss: -0.6344 | Entropy: 0.4656 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.3
Epoch [90/500] | Sampled: 254.94 | Baseline: 251.44 | Improvement: -3.50 | Win Rate: 34.38% | Actor Loss: -0.4282 | Entropy: 0.4217 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [91/500] | Sampled: 253.81 | Baseline: 252.06 | Improvement: -1.75 | Win Rate: 43.75% | Actor Loss: -0.9263 | Entropy: 0.4444 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [92/500] | Sampled: 252.12 | Baseline: 246.00 | Improvement: -6.12 | Win Rate: 18.75% | Actor Loss: -0.3960 | Entropy: 0.3789 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.4
Epoch [93/500] | Sampled: 249.22 | Baseline: 247.16 | Improvement: -2.06 | Win Rate: 34.38% | Actor Loss: -1.2586 | Entropy: 0.3786 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [94/500] | Sampled: 252.88 | Baseline: 251.06 | Improvement: -1.81 | Win Rate: 46.88% | Actor Loss: -0.5218 | Entropy: 0.3640 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.3
Epoch [95/500] | Sampled: 251.72 | Baseline: 251.06 | Improvement: -0.66 | Win Rate: 46.88% | Actor Loss: -0.0752 | Entropy: 0.3247 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.3
Epoch [96/500] | Sampled: 254.25 | Baseline: 252.12 | Improvement: -2.12 | Win Rate: 37.50% | Actor Loss: -0.1164 | Entropy: 0.2865 | Invalid S/B: 0.00/0.00 | Max Load: 7.3 | Load Gap: 1.3
