Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [114/1000] | Sampled: 2063.00 | Baseline: 673.25 | Improvement: -1389.75 | Win Rate: 0.00% | Job Loss: -1.0028 | AMR Loss: 0.8491 | Entropy: 1.1890
Epoch [115/1000] | Sampled: 2095.81 | Baseline: 693.19 | Improvement: -1402.62 | Win Rate: 0.00% | Job Loss: 2.8922 | AMR Loss: 0.9487 | Entropy: 1.1608
Epoch [116/1000] | Sampled: 2083.19 | Baseline: 678.94 | Improvement: -1404.25 | Win Rate: 0.00% | Job Loss: -3.6181 | AMR Loss: 0.7072 | Entropy: 1.1662
Epoch [117/1000] | Sampled: 2094.69 | Baseline: 693.44 | Improvement: -1401.25 | Win Rate: 0.00% | Job Loss: 0.4705 | AMR Loss: 0.5363 | Entropy: 1.1566
Epoch [118/1000] | Sampled: 2078.25 | Baseline: 690.50 | Improvement: -1387.75 | Win Rate: 0.00% | Job Loss: 1.0612 | AMR Loss: 0.8198 | Entropy: 1.1449
Epoch [119/1000] | Sampled: 2064.88 | Baseline: 680.12 | Improvement: -1384.75 | Win Rate: 0.00% | Job Loss: 2.9513 | AMR Loss: 0.9586 | Entropy: 1.1392
Epoch [120/1000] | Sampled: 2063.62 | Baseline: 695.69 | Improvement: -1367.94 | Win Rate: 0.00% | Job Loss: 0.3540 | AMR Loss: 1.1701 | Entropy: 1.1361
Epoch [121/1000] | Sampled: 2070.69 | Baseline: 703.81 | Improvement: -1366.88 | Win Rate: 0.00% | Job Loss: 1.7361 | AMR Loss: 0.6569 | Entropy: 1.1297
Epoch [122/1000] | Sampled: 2103.94 | Baseline: 701.00 | Improvement: -1402.94 | Win Rate: 0.00% | Job Loss: -0.4239 | AMR Loss: 0.6748 | Entropy: 1.1448
Epoch [123/1000] | Sampled: 2072.12 | Baseline: 698.31 | Improvement: -1373.81 | Win Rate: 0.00% | Job Loss: 2.2401 | AMR Loss: 1.2017 | Entropy: 1.1533
Epoch [124/1000] | Sampled: 2084.06 | Baseline: 700.50 | Improvement: -1383.56 | Win Rate: 0.00% | Job Loss: 0.9640 | AMR Loss: 0.9077 | Entropy: 1.1202
Epoch [125/1000] | Sampled: 2092.00 | Baseline: 682.50 | Improvement: -1409.50 | Win Rate: 0.00% | Job Loss: 0.8848 | AMR Loss: 1.0529 | Entropy: 1.1082
Epoch [126/1000] | Sampled: 2098.25 | Baseline: 688.31 | Improvement: -1409.94 | Win Rate: 0.00% | Job Loss: 1.2952 | AMR Loss: 0.6577 | Entropy: 1.0830
Epoch [127/1000] | Sampled: 2102.12 | Baseline: 697.94 | Improvement: -1404.19 | Win Rate: 0.00% | Job Loss: -0.0150 | AMR Loss: 0.4229 | Entropy: 1.0656
Epoch [128/1000] | Sampled: 2106.94 | Baseline: 695.88 | Improvement: -1411.06 | Win Rate: 0.00% | Job Loss: -0.4681 | AMR Loss: 1.0751 | Entropy: 1.0475
Epoch [129/1000] | Sampled: 2106.75 | Baseline: 690.25 | Improvement: -1416.50 | Win Rate: 0.00% | Job Loss: -0.9223 | AMR Loss: 0.3453 | Entropy: 1.0472
Epoch [130/1000] | Sampled: 2102.12 | Baseline: 701.56 | Improvement: -1400.56 | Win Rate: 0.00% | Job Loss: 0.3789 | AMR Loss: 1.0668 | Entropy: 1.0748
Epoch [131/1000] | Sampled: 2061.50 | Baseline: 681.88 | Improvement: -1379.62 | Win Rate: 0.00% | Job Loss: -1.2091 | AMR Loss: 0.5623 | Entropy: 1.0769
Epoch [132/1000] | Sampled: 2101.75 | Baseline: 691.12 | Improvement: -1410.62 | Win Rate: 0.00% | Job Loss: -2.4229 | AMR Loss: 0.3920 | Entropy: 1.0617
Epoch [133/1000] | Sampled: 2082.12 | Baseline: 692.25 | Improvement: -1389.88 | Win Rate: 0.00% | Job Loss: 0.8667 | AMR Loss: 0.7150 | Entropy: 1.0779
Epoch [134/1000] | Sampled: 2093.69 | Baseline: 694.75 | Improvement: -1398.94 | Win Rate: 0.00% | Job Loss: 3.1245 | AMR Loss: 0.7827 | Entropy: 1.0464
