Training on: cuda
Loaded 1000 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_60.jsonl
Loaded 50 validation event(s).
Starting hybrid dock-aware extend_GNN REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [63/2000] | Sampled: 651.62 | Baseline: 555.75 | Improvement: -95.88 | Win Rate: 0.00% | Actor Loss: -25.7970 | Entropy: 3.7842 | Invalid S/B: 0.38/0.00 | Max Load: 13.4 | Load Gap: 2.9 | LR: 2.99e-04
Epoch [64/2000] | Sampled: 652.56 | Baseline: 560.50 | Improvement: -92.06 | Win Rate: 0.00% | Actor Loss: -21.6212 | Entropy: 3.8169 | Invalid S/B: 0.31/0.00 | Max Load: 13.4 | Load Gap: 3.0 | LR: 2.99e-04
Epoch [65/2000] | Sampled: 651.94 | Baseline: 562.25 | Improvement: -89.69 | Win Rate: 0.00% | Actor Loss: -22.7829 | Entropy: 3.7766 | Invalid S/B: 0.12/0.06 | Max Load: 13.2 | Load Gap: 2.6 | LR: 2.99e-04
Epoch [66/2000] | Sampled: 647.19 | Baseline: 557.62 | Improvement: -89.56 | Win Rate: 0.00% | Actor Loss: -16.5406 | Entropy: 3.6960 | Invalid S/B: 0.56/0.00 | Max Load: 13.3 | Load Gap: 2.7 | LR: 2.99e-04
Epoch [67/2000] | Sampled: 623.69 | Baseline: 564.88 | Improvement: -58.81 | Win Rate: 0.00% | Actor Loss: -16.4736 | Entropy: 3.6657 | Invalid S/B: 0.25/0.06 | Max Load: 13.4 | Load Gap: 2.7 | LR: 2.99e-04
Epoch [68/2000] | Sampled: 610.81 | Baseline: 549.50 | Improvement: -61.31 | Win Rate: 6.25% | Actor Loss: -20.0086 | Entropy: 3.6174 | Invalid S/B: 0.38/0.00 | Max Load: 13.4 | Load Gap: 2.7 | LR: 2.99e-04
Epoch [69/2000] | Sampled: 648.00 | Baseline: 555.69 | Improvement: -92.31 | Win Rate: 0.00% | Actor Loss: -15.4361 | Entropy: 3.5394 | Invalid S/B: 0.50/0.00 | Max Load: 13.6 | Load Gap: 2.9 | LR: 2.99e-04
Epoch [70/2000] | Sampled: 627.00 | Baseline: 561.44 | Improvement: -65.56 | Win Rate: 0.00% | Actor Loss: -19.0203 | Entropy: 3.4391 | Invalid S/B: 0.31/0.00 | Max Load: 13.2 | Load Gap: 2.4 | LR: 2.99e-04
Epoch [71/2000] | Sampled: 591.81 | Baseline: 552.75 | Improvement: -39.06 | Win Rate: 6.25% | Actor Loss: -11.4813 | Entropy: 3.2686 | Invalid S/B: 0.06/0.00 | Max Load: 13.4 | Load Gap: 2.8 | LR: 2.99e-04
Epoch [72/2000] | Sampled: 622.38 | Baseline: 561.38 | Improvement: -61.00 | Win Rate: 12.50% | Actor Loss: -22.5556 | Entropy: 3.1458 | Invalid S/B: 0.31/0.00 | Max Load: 13.5 | Load Gap: 2.9 | LR: 2.99e-04
Epoch [73/2000] | Sampled: 640.06 | Baseline: 556.38 | Improvement: -83.69 | Win Rate: 6.25% | Actor Loss: -9.5962 | Entropy: 2.9948 | Invalid S/B: 0.50/0.00 | Max Load: 13.2 | Load Gap: 2.2 | LR: 2.99e-04
Epoch [74/2000] | Sampled: 629.06 | Baseline: 549.69 | Improvement: -79.38 | Win Rate: 0.00% | Actor Loss: -10.3512 | Entropy: 2.8525 | Invalid S/B: 0.12/0.00 | Max Load: 13.1 | Load Gap: 2.3 | LR: 2.99e-04
Epoch [75/2000] | Sampled: 623.88 | Baseline: 557.00 | Improvement: -66.88 | Win Rate: 6.25% | Actor Loss: -6.5987 | Entropy: 2.7736 | Invalid S/B: 0.25/0.00 | Max Load: 13.2 | Load Gap: 2.6 | LR: 2.99e-04
   -> Validation | Samples: 50 | Makespan: 579.58 | Invalid Jobs: 0.00 | Score: 579.58
Epoch [76/2000] | Sampled: 641.62 | Baseline: 561.56 | Improvement: -80.06 | Win Rate: 0.00% | Actor Loss: -10.2236 | Entropy: 2.6860 | Invalid S/B: 0.06/0.00 | Max Load: 13.2 | Load Gap: 2.4 | LR: 2.99e-04
Epoch [77/2000] | Sampled: 651.88 | Baseline: 563.00 | Improvement: -88.88 | Win Rate: 0.00% | Actor Loss: -13.4356 | Entropy: 2.6092 | Invalid S/B: 0.19/0.00 | Max Load: 13.3 | Load Gap: 2.6 | LR: 2.99e-04
Epoch [78/2000] | Sampled: 649.75 | Baseline: 564.50 | Improvement: -85.25 | Win Rate: 6.25% | Actor Loss: -18.1333 | Entropy: 2.6009 | Invalid S/B: 0.12/0.00 | Max Load: 13.2 | Load Gap: 2.6 | LR: 2.99e-04
Epoch [79/2000] | Sampled: 640.38 | Baseline: 559.19 | Improvement: -81.19 | Win Rate: 0.00% | Actor Loss: -8.6543 | Entropy: 2.4910 | Invalid S/B: 0.06/0.00 | Max Load: 13.3 | Load Gap: 2.8 | LR: 2.99e-04
Epoch [80/2000] | Sampled: 630.69 | Baseline: 555.25 | Improvement: -75.44 | Win Rate: 0.00% | Actor Loss: -13.6364 | Entropy: 2.4498 | Invalid S/B: 0.06/0.00 | Max Load: 13.2 | Load Gap: 2.4 | LR: 2.99e-04
Epoch [81/2000] | Sampled: 644.69 | Baseline: 560.25 | Improvement: -84.44 | Win Rate: 0.00% | Actor Loss: -5.1528 | Entropy: 2.4369 | Invalid S/B: 0.25/0.00 | Max Load: 13.2 | Load Gap: 2.4 | LR: 2.99e-04
Epoch [82/2000] | Sampled: 648.44 | Baseline: 560.88 | Improvement: -87.56 | Win Rate: 0.00% | Actor Loss: -6.1956 | Entropy: 2.4623 | Invalid S/B: 0.12/0.00 | Max Load: 13.3 | Load Gap: 2.4 | LR: 2.99e-04
Epoch [83/2000] | Sampled: 637.44 | Baseline: 558.12 | Improvement: -79.31 | Win Rate: 0.00% | Actor Loss: -14.6480 | Entropy: 2.5413 | Invalid S/B: 0.25/0.00 | Max Load: 13.4 | Load Gap: 2.8 | LR: 2.99e-04
Epoch [84/2000] | Sampled: 671.00 | Baseline: 564.19 | Improvement: -106.81 | Win Rate: 0.00% | Actor Loss: -14.6948 | Entropy: 2.5832 | Invalid S/B: 0.38/0.00 | Max Load: 13.2 | Load Gap: 2.6 | LR: 2.99e-04
Epoch [85/2000] | Sampled: 648.56 | Baseline: 553.75 | Improvement: -94.81 | Win Rate: 0.00% | Actor Loss: -15.6248 | Entropy: 2.5632 | Invalid S/B: 0.12/0.00 | Max Load: 13.2 | Load Gap: 2.4 | LR: 2.99e-04
Epoch [86/2000] | Sampled: 643.00 | Baseline: 555.62 | Improvement: -87.38 | Win Rate: 0.00% | Actor Loss: -16.1131 | Entropy: 2.5982 | Invalid S/B: 0.19/0.00 | Max Load: 13.3 | Load Gap: 2.7 | LR: 2.99e-04
Epoch [87/2000] | Sampled: 654.56 | Baseline: 561.88 | Improvement: -92.69 | Win Rate: 0.00% | Actor Loss: -16.6299 | Entropy: 2.6407 | Invalid S/B: 0.31/0.00 | Max Load: 13.4 | Load Gap: 2.8 | LR: 2.99e-04
Epoch [88/2000] | Sampled: 621.75 | Baseline: 562.44 | Improvement: -59.31 | Win Rate: 0.00% | Actor Loss: -18.3647 | Entropy: 2.7367 | Invalid S/B: 0.06/0.00 | Max Load: 13.5 | Load Gap: 3.1 | LR: 2.99e-04
Epoch [89/2000] | Sampled: 620.75 | Baseline: 554.25 | Improvement: -66.50 | Win Rate: 0.00% | Actor Loss: -8.5361 | Entropy: 2.7936 | Invalid S/B: 0.31/0.00 | Max Load: 13.2 | Load Gap: 2.4 | LR: 2.99e-04
Epoch [90/2000] | Sampled: 636.81 | Baseline: 562.88 | Improvement: -73.94 | Win Rate: 0.00% | Actor Loss: -14.8520 | Entropy: 2.8701 | Invalid S/B: 0.25/0.00 | Max Load: 13.4 | Load Gap: 3.0 | LR: 2.99e-04
Epoch [91/2000] | Sampled: 625.69 | Baseline: 557.88 | Improvement: -67.81 | Win Rate: 6.25% | Actor Loss: -11.4435 | Entropy: 3.0001 | Invalid S/B: 0.19/0.00 | Max Load: 13.6 | Load Gap: 2.9 | LR: 2.99e-04
Epoch [92/2000] | Sampled: 661.19 | Baseline: 557.56 | Improvement: -103.62 | Win Rate: 0.00% | Actor Loss: -12.3330 | Entropy: 3.0788 | Invalid S/B: 0.62/0.00 | Max Load: 13.4 | Load Gap: 2.8 | LR: 2.99e-04
Epoch [93/2000] | Sampled: 640.44 | Baseline: 555.62 | Improvement: -84.81 | Win Rate: 12.50% | Actor Loss: -10.8938 | Entropy: 3.1972 | Invalid S/B: 0.44/0.00 | Max Load: 13.4 | Load Gap: 3.1 | LR: 2.99e-04
Epoch [94/2000] | Sampled: 673.81 | Baseline: 560.44 | Improvement: -113.38 | Win Rate: 0.00% | Actor Loss: -21.8128 | Entropy: 3.3221 | Invalid S/B: 0.62/0.00 | Max Load: 13.4 | Load Gap: 2.6 | LR: 2.99e-04
Epoch [95/2000] | Sampled: 655.44 | Baseline: 555.00 | Improvement: -100.44 | Win Rate: 0.00% | Actor Loss: -17.8694 | Entropy: 3.3893 | Invalid S/B: 0.62/0.00 | Max Load: 13.8 | Load Gap: 3.2 | LR: 2.99e-04
