Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_40.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_60.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_80.jsonl
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_100.jsonl
Starting GNN Precise REINFORCE training with dispatch baseline 'earliest_completion_job+earliest_completion' (stepwise).
Epoch [78/2000] | Sampled: 2429.56 | Baseline: 776.69 | Improvement: -1652.88 | Win Rate: 0.00% | Job Loss: -18.9296 | AMR Loss: 1.3131 | Entropy: 0.9293 | Invalid S/B: 0.00/0.00 | Max Load: 65.9 | Load Gap: 65.9
Epoch [79/2000] | Sampled: 2305.69 | Baseline: 736.00 | Improvement: -1569.69 | Win Rate: 0.00% | Job Loss: -14.7702 | AMR Loss: 0.8903 | Entropy: 0.8832 | Invalid S/B: 0.00/0.00 | Max Load: 62.4 | Load Gap: 62.4
Epoch [80/2000] | Sampled: 2483.00 | Baseline: 786.88 | Improvement: -1696.12 | Win Rate: 0.00% | Job Loss: -21.0576 | AMR Loss: 1.0231 | Entropy: 0.8994 | Invalid S/B: 0.00/0.00 | Max Load: 67.4 | Load Gap: 67.4
Epoch [81/2000] | Sampled: 2518.19 | Baseline: 796.62 | Improvement: -1721.56 | Win Rate: 0.00% | Job Loss: -19.4399 | AMR Loss: 1.1427 | Entropy: 0.9314 | Invalid S/B: 0.00/0.00 | Max Load: 67.3 | Load Gap: 67.3
Epoch [82/2000] | Sampled: 2199.62 | Baseline: 704.25 | Improvement: -1495.38 | Win Rate: 0.00% | Job Loss: -17.7746 | AMR Loss: 1.3019 | Entropy: 0.9106 | Invalid S/B: 0.00/0.00 | Max Load: 59.6 | Load Gap: 59.6
Epoch [83/2000] | Sampled: 2066.75 | Baseline: 650.81 | Improvement: -1415.94 | Win Rate: 0.00% | Job Loss: -18.5592 | AMR Loss: 0.8162 | Entropy: 0.8542 | Invalid S/B: 0.00/0.00 | Max Load: 54.9 | Load Gap: 54.9
Epoch [84/2000] | Sampled: 2579.44 | Baseline: 818.75 | Improvement: -1760.69 | Win Rate: 0.00% | Job Loss: -20.4518 | AMR Loss: 1.0081 | Entropy: 0.9641 | Invalid S/B: 0.00/0.00 | Max Load: 69.8 | Load Gap: 69.8
Epoch [85/2000] | Sampled: 2322.00 | Baseline: 747.19 | Improvement: -1574.81 | Win Rate: 0.00% | Job Loss: -9.0078 | AMR Loss: 0.6877 | Entropy: 0.9682 | Invalid S/B: 0.00/0.00 | Max Load: 63.8 | Load Gap: 63.8
Epoch [86/2000] | Sampled: 2484.44 | Baseline: 793.44 | Improvement: -1691.00 | Win Rate: 0.00% | Job Loss: -6.8163 | AMR Loss: 0.9694 | Entropy: 1.1021 | Invalid S/B: 0.00/0.00 | Max Load: 66.1 | Load Gap: 66.1
Epoch [87/2000] | Sampled: 2036.44 | Baseline: 649.00 | Improvement: -1387.44 | Win Rate: 0.00% | Job Loss: -3.3645 | AMR Loss: 1.2722 | Entropy: 1.0474 | Invalid S/B: 0.00/0.00 | Max Load: 54.6 | Load Gap: 54.6
